Iteration	Posterior	Likelihood	Prior	sigma
22700	4457.042	4703.23	-246.1873	0.05968588
22800	4509.885	4715.718	-205.8326	0.0605875
22900	4570.825	4703.735	-132.9095	0.06188378
23000	4637.812	4725.503	-87.69091	0.06512791
23100	4563.684	4731.438	-167.7535	0.06493021
23200	4534.116	4731.326	-197.2101	0.06276134
23300	4548.277	4735.256	-186.9791	0.06595036
23400	4511.432	4734.864	-223.4322	0.06388548
23500	4451.576	4721.801	-270.2247	0.06211641
23600	4402.299	4702.631	-300.3315	0.06073376
23700	4462.323	4703.113	-240.7899	0.06476953
23800	4585.74	4716.519	-130.7783	0.0619547
23900	4611.039	4705.645	-94.60611	0.0619672
24000	4608.968	4708.338	-99.36982	0.05992871
24100	4636.69	4726.801	-90.11074	0.06283868
24200	4613.175	4725.523	-112.3483	0.06239004
24300	4620.4	4717.966	-97.56631	0.06104507
24400	4527.682	4695.978	-168.2955	0.06164786
24500	4652.561	4701.592	-49.03089	0.06098868
24600	4705.863	4726.974	-21.11099	0.06254633
24700	4725.232	4717.323	7.909501	0.06605173
24800	4608.954	4710.65	-101.6958	0.06295187
24900	4602.376	4730.913	-128.5375	0.06464432
25000	4757.32	4725.327	31.99359	0.06190778
25100	4742.384	4736.328	6.056434	0.06214228
25200	4666.343	4718.493	-52.14939	0.06285192
25300	4535.322	4717.501	-182.1799	0.06436354
25400	4531.265	4703.659	-172.3938	0.06162666
25500	4779.314	4706.776	72.53797	0.06267882
25600	4818.762	4717.445	101.3172	0.06202681
25700	4816.797	4730.11	86.68634	0.06353878
25800	4568.179	4707.877	-139.6973	0.06120056
25900	4605.58	4728.307	-122.7262	0.06503491
26000	4615.207	4732.455	-117.2473	0.06307611
26100	4595.966	4739.603	-143.6371	0.06621964
26200	4587.528	4728.309	-140.7807	0.06321567
26300	4633.433	4719.833	-86.40021	0.06309713
26400	4545.41	4730.091	-184.6803	0.06236808
26500	4457.87	4716.301	-258.4313	0.06225277
26600	4469.687	4721.29	-251.6029	0.06286841
26700	4346.811	4721.523	-374.7118	0.06332895
26800	4314.069	4713.308	-399.2386	0.06469384
26900	4241.609	4699.798	-458.1896	0.06176045
27000	4248.201	4696.367	-448.1667	0.05821562
27100	4179.91	4715.68	-535.77	0.06299058
27200	4196.563	4733.726	-537.1632	0.06242084
27300	4053.438	4707.437	-653.9993	0.05882162
27400	4103.536	4703.222	-599.6858	0.05754956
27500	4140.25	4720.223	-579.9734	0.06105615
27600	4220.637	4727.761	-507.124	0.06158449
27700	4176.277	4711.283	-535.0062	0.06209906
27800	4127.134	4708.786	-581.6518	0.0574093
27900	4161.705	4698.215	-536.5098	0.06164701
28000	4161.851	4737.419	-575.5679	0.06202314
28100	4252.507	4728.101	-475.5938	0.06324189
28200	4240.573	4723.819	-483.2465	0.06011962
28300	4330.521	4716.592	-386.0704	0.05925766
28400	4318.961	4724.53	-405.5695	0.06114828
28500	4308.307	4705.54	-397.233	0.05877223
28600	4602.576	4729.433	-126.8573	0.06209189
28700	4408.529	4724.667	-316.1381	0.06079424
28800	4451.308	4720.441	-269.1322	0.0644042
28900	4548.145	4726.871	-178.7266	0.06134974
29000	4521.249	4718.923	-197.6747	0.05949761
29100	4538.822	4703.498	-164.6753	0.05939143
29200	4401.455	4711.356	-309.9011	0.05962695
29300	4329.423	4710.248	-380.8246	0.06210508
29400	4333.752	4721.746	-387.9934	0.06202945
29500	4360.48	4737.777	-377.2972	0.06112117
29600	4318.559	4746.719	-428.1605	0.05939568
29700	4342.666	4753.066	-410.3999	0.06239543
29800	4222.734	4733.325	-510.5914	0.0599197
29900	4245.716	4737.04	-491.3236	0.06452448
30000	4282.929	4729.576	-446.6474	0.06545326
30100	4176.937	4692.083	-515.1454	0.0607122
30200	4170.609	4709.776	-539.1673	0.06171033
30300	4263.633	4729.127	-465.4938	0.06444473
30400	4271.968	4713.177	-441.2087	0.06232615
30500	4229.11	4720.896	-491.7858	0.06494608
30600	4284.83	4727.021	-442.1912	0.06237954
30700	4302.015	4716.882	-414.8664	0.06204243
30800	4356.094	4732.843	-376.749	0.05977198
30900	4392.089	4730.164	-338.0746	0.06474614
31000	4383.464	4715.096	-331.6323	0.06322289
31100	4247.959	4711.762	-463.8028	0.05744606
31200	4324.227	4703.273	-379.0463	0.06053538
31300	4465.373	4724.819	-259.446	0.06179628
31400	4444.152	4714.744	-270.5915	0.06105834
31500	4370.703	4713.771	-343.0687	0.05912008
31600	4420.294	4723.995	-303.7015	0.061744
31700	4542.008	4722.921	-180.9129	0.06543172
31800	4598.978	4699.718	-100.7399	0.05840012
31900	4529.037	4697.706	-168.6696	0.06206623
32000	4525.011	4715.729	-190.7177	0.06271348
32100	4541.067	4725.855	-184.7877	0.05891056
32200	4586.653	4730.634	-143.9812	0.06210752
32300	4328.43	4718.967	-390.537	0.06024387
32400	4323.891	4721.45	-397.5593	0.06029786
32500	4325.801	4715.529	-389.728	0.0652703
32600	4201.665	4720.069	-518.4045	0.06055376
32700	4167.558	4715.733	-548.175	0.06216174
32800	4100.901	4712.095	-611.1942	0.06216438
32900	4096.338	4705.66	-609.3217	0.06367291
33000	4070.14	4681.956	-611.816	0.05898243
33100	3993.655	4693.601	-699.9463	0.0639539
33200	4005.979	4709.846	-703.8669	0.06493714
33300	4032.023	4693.313	-661.2899	0.0607193
33400	4078.336	4696.097	-617.7606	0.05859545
33500	4004.795	4690.524	-685.729	0.06001971
33600	3897.36	4685.924	-788.5649	0.06134825
33700	3907.12	4684.606	-777.4852	0.05562585
33800	3955.744	4700.336	-744.5923	0.05996793
33900	3955.934	4704.808	-748.8737	0.06113566
34000	3966.925	4709.391	-742.4665	0.06377474
34100	3996.71	4719.13	-722.4204	0.06167038
34200	4062.638	4693.017	-630.3788	0.06036128
34300	4079.902	4702.736	-622.8338	0.06212569
34400	4085.263	4709.651	-624.3875	0.06294019
