rowname,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
FR_04_08_00_EBA-1,-0.03890980408617397,0.030610788952626762,0.012234358549282093,-0.045949851037859604,0.05820010921884566,-0.11021616505810977,0.047731912983709664,-0.02285057080732438,0.014437614261184483,-0.013289726565757432,-0.00918116188979987,9.004688071430826e-4,-0.008771517389617508,0.0012403709663258173,9.782108243218545e-4,0.01804686842522425
FR_04_09_00_EBA-1,0.018223767580831954,0.025426619133585765,-0.04763730419798775,-0.030513132547591137,0.01975498048258593,-0.08862428111783377,0.03655109277292117,0.012844970316959683,0.011325357256528872,-8.366610254534836e-4,-0.010716527032598679,0.010684726672463191,-0.011104405418259763,0.028034429012913985,-0.011559640135135978,-0.002078988591978736
FR_20_02_01_EBA-1,-0.04173022511074687,-0.011897735898093426,0.009547236380146637,-0.0755808116383314,0.005759083047052226,0.006629704272483858,0.021478450865197632,-0.019636950465328172,0.02634053094020807,-0.021131885254903903,-0.006427501379890092,4.5937658561012685e-4,-0.005720694278544698,-0.01939460740348764,6.563372057112921e-4,-0.004856302823129734
FR_20_02_10_EBA-1,0.16309126086593004,0.03023952619718979,0.02225795790060405,-0.004117685260892557,-0.005615266067772043,0.012256579065477198,-0.021866745812617452,-0.02614163387514029,-0.01368763513069167,0.029863555373249206,-0.01351741672445963,-0.00773165331397962,0.0069640874375481755,-0.005097732292053376,0.010801886162191006,0.007110921243870476
FR_20_02_02_EBA-1,-0.09390541291229322,-0.0615823645710092,-0.009993045483106311,-0.06706729330305314,0.009724576072230977,0.01937045858441454,0.00962069331567992,0.016961449091279585,0.02682888658217709,-0.013619587099427382,0.005013305314707085,-0.006227891795528966,-0.019808882313879235,-0.00787874689332307,-0.006834751755197994,0.0021090915196128423
FR_20_02_03_EBA-1,-0.002325265636720003,-0.022914327572340576,0.04379437737128867,-0.09185703962954207,-0.008372628068045139,0.026790939531960677,-0.009289542302233349,8.796155610260743e-4,0.012830663836377834,-0.010026864924486997,-8.920455958293544e-4,-0.008602091775232433,-0.00854928663311198,-0.005288106454797052,0.007224537070040265,-0.0012313083045257013
FR_20_02_04_EBA-1,0.05070859792834897,-0.02514227583057706,0.030190389863238132,-0.07009950976468439,0.013387483124545348,-0.011743901155894767,0.008990194912750894,-0.0043455883103194525,0.018191631674901437,0.010544805340778767,-0.007285531569407407,-0.00840053082856971,-0.003017242782003054,0.0031325662992078146,-0.003048644039082009,-0.0018744435743820354
FR_20_02_05_EBA-1,0.09062246293128962,-0.05352118785689731,-0.029675111264381906,-0.054799604769856736,6.181554286798215e-4,-0.03508156795554294,0.0058081282314167955,-0.003732327505266233,0.016222649431504484,0.012162372239673591,0.00191556188102296,-0.0018664076884710218,-0.003138058353675784,-0.0025045956298068214,-0.005291577145778787,-0.0012850096067416406
FR_20_02_06_EBA-1,-0.1037644748798005,0.10697318887324421,0.1404765763406745,-0.061377838406459384,0.018333450452856195,-0.018650238172899184,0.01893990378800225,0.025438746337880336,0.0020603944767235765,-0.018244561480543684,-0.012692922225085243,-0.008369410906936227,0.0015814910100529205,-0.0010946812404015755,0.011146446114426438,0.0057904654353736805
FR_20_02_07_EBA-1,-0.020319149994058306,-0.02235336034328717,-0.027390733398579652,-0.07351916237934653,0.02918600660796025,0.007916255632398932,0.008859799111882238,-0.003061969440047276,0.016435884819168408,-0.025513091120480575,0.014126656316811714,-0.00458583707164774,-0.0029256249765796196,-0.007427831197194115,-3.555570078204888e-4,-0.0037483533429361437
FR_20_02_08_EBA-1,0.024195061168396568,0.0019278995786616159,-0.03720113734601644,-0.06411600252330937,-0.01417690995135152,-0.007298450400578577,0.006252720675877144,0.0089839167085162,0.021367160117507042,0.0012053830860066666,0.003638224260680509,-5.302057820422382e-4,-0.012206797104314368,-0.007344479725212373,-0.00888129843074153,0.0027300902185665534
FR_20_02_09_EBA-1,0.1207647091843995,0.13555081247943748,0.01268973158397587,-0.019995419878113502,-0.019435415276757576,-0.0018089844413179338,-0.0201752910737463,0.015016395063056564,-0.011793063466689757,0.004562902756221961,0.004941792712846228,0.003676144965845195,-0.006517366800619287,0.02284301563106684,0.00994123320510194,-0.0025163666128318702
FR_20_01_00_EBA-1,0.026535785389485676,0.059952614274334334,0.04630060358535806,-0.06500365155318713,-0.0018760863633502103,-0.012984208305823306,0.01834164358158276,0.009321190711306581,-0.002843331090928272,0.0021908345578646477,0.003129936644472357,-0.003847214051073841,6.388410550841923e-4,-3.621371597143993e-4,0.007701155456755903,0.00513903923209506
FR_20_10_00_EBA-1,0.17718675864357394,-0.04940265759107646,0.03607980610220361,-0.020701241105687374,-0.015674816913805723,0.030707064262712396,0.015469778701843155,-1.7687779989050974e-4,-0.019906018921918414,0.0232717909623655,0.00806170344720535,0.009427551600102429,1.1381742226271074e-5,0.004551655090761361,0.012434707571225738,0.001953783229311664
FR_20_11_00_EBA-1,0.007101247083667995,-0.05492199434763149,0.028829460594020778,-0.09026754130469718,-0.005863985214903476,0.020741150439650937,0.001158096155634537,0.0016694539424784818,0.017094684218197938,-0.007792923668369308,-0.002519685927170381,0.002127846849996846,-0.0040138959297761675,-0.005420875030006594,0.006207787420165932,1.7010234163438923e-4
FR_20_12_00_EBA-1,0.03147874962763526,-0.020513627637912212,0.015179932819552367,-0.0697315626052692,-0.018981895538049614,-0.002651458908718084,0.025460520669781776,0.023056069448183128,0.003802959549930616,0.007883652786064456,-0.010694322486243165,0.011468083360500633,-0.006806994624994851,-0.004494966663268094,-0.005234335828572918,-0.0029394222182214957
FR_20_02_00_EBA-1,-0.00896778683879313,0.026655913017967714,-0.02838253459030248,-0.05474354943357726,0.013830415167452986,-0.0362887772697921,0.031047182020478264,0.012569659132694326,0.021179339284756602,-0.016463447657339304,0.0028822745128808135,0.00553162181473967,-0.005034028764589602,0.005269644888635102,-0.006260862819092289,0.005928907915799255
FR_20_03_00_EBA-1,0.03511936144811632,-0.017585528155158896,0.017353986396824776,-0.05253769960431228,0.029757476028526724,0.03304639848047574,0.03450082263461902,-0.014355647296644783,-0.010945402996304815,0.010994476707194539,-0.014781336379218893,-0.004578777944913913,0.004220458025342737,-0.002054190761184396,0.0021818230631548206,-0.012183823737087554
FR_20_04_00_EBA-1,0.06253235573107431,0.04495605765417802,0.01593882917020877,-0.04149852113244352,0.003191447480790835,0.042668131527030514,0.016750841220298535,-0.009578155900537831,0.024255110856646857,0.010244373833324287,-0.021814430796855,-0.004738338898842885,0.005289579775841279,0.011431561697239821,-0.008215177501617361,-0.00348666477499839
FR_20_05_00_EBA-1,0.23119641418637105,-0.006106485213596567,-0.010275797178818161,0.01205135867867655,0.01512414586742936,0.013171755986203508,0.009210834157643682,-0.01669555749482067,-0.020583620867602515,0.014147040753326455,-0.004452152507564539,0.01322376787614313,0.005670186301109223,-0.010861179593928667,0.017535015407024825,0.00971053624052981
